PV;Onderwerp;"Datum PV";"Referentie kabinet";Parlementarier;Omschrijving;"Antwoord tegen";"Antwoord ontvangen";"Te behandelen door";"Doorsturen naar";"Naar Staf tegen";"Herinnering op";"Uitgeschreven op";"Datum Kabinet";Bijlagen
697;"Generiek Informatieplatform Openbaar Domein (GIPOD) - uitbouw";24-04-2014;;"Dillen Marijke";;08-05-2014;;PCO;--selecteer--;08-05-2014;08-05-2014;08-05-2014;08-05-2014;
695;"Mobiliteit Vlaams-Brabant en Brussel - maatregelen";22-04-2014;;"De Knop Irina";;05-05-2014;;WVB;;05-05-2014;06-05-2014;06-05-2014;06-05-2014;
694;"Kruispunt Assesteenweg / NInoofsesteenweg Lennik - Verzakking";22-04-2014;;"Reekmans Peter";;06-05-2014;;WVB;;06-05-2014;06-05-2014;06-05-2014;06-05-2014;
691;"Proefproject toeritdosering Mortsel - Tellingen verkeersintensiteit";16-04-2014;;"Vermeiren Goedele";;28-04-2014;;EVT;;28-04-2014;28-04-2014;28-04-2014;28-04-2014;
690;"Verbindingsweg N19/N118 Geel - Stand van zaken";15-04-2014;;"Reekmans Peter";;24-04-2014;;WA;;24-04-2014;24-04-2014;24-04-2014;24-04-2014;
678;"Hoge Mouwtunnel Kasterlee - Geluidsoverlast";07-04-2014;;"Kennes Ward";;18-04-2014;;WA;;18-04-2014;18-04-2014;18-04-2014;18-04-2014;
688;"N263 Bever - zwaar vrachtverkeer";08-04-2014;;"De Knop Irina";;22-04-2014;;WVB;;22-04-2014;22-04-2014;22-04-2014;22-04-2014;
681;"Uitrol elektrisiche mobiliteit - stand van zaken";07-04-2014;;"Rzoska Björn";;18-04-2014;;Stafdienst;;18-04-2014;18-04-2014;18-04-2014;18-04-2014;
685;"Kempische Noord-Zuidverbinding - geluidsoverlast";07-04-2014;;"De Kort Dirk";;18-04-2014;;WA;;18-04-2014;18-04-2014;18-04-2014;18-04-2014;
684;"N19g Kasterlee - Geel - Geluidsschermen";07-04-2014;;"Kennes Ward";;18-04-2014;;WA;;18-04-2014;18-04-2014;18-04-2014;18-04-2014;
682;"N49 - Maldegem - geluidsoverlast";07-04-2014;;"Rzoska Björn";;18-04-2014;;WOV;;18-04-2014;18-04-2014;18-04-2014;18-04-2014;
680;"Ongelijkgrondse kruisingen - Westerring Genk";07-04-2014;;"Peeters Lydia";;18-04-2014;;WL;;18-04-2014;18-04-2014;18-04-2014;18-04-2014;
679;"Fietspaden A12 - Staat";07-04-2014;;"Rzoska Björn";;18-04-2014;;WA;;18-04-2014;18-04-2014;18-04-2014;18-04-2014;
676;"N8 Ninove - Brussel - Fietspaden";07-04-2014;;"Rzoska Björn";"elementen van antwoord opgevraagd bij WVB";18-04-2014;;WOV;;18-04-2014;18-04-2014;18-04-2014;18-04-2014;
675;"N425 Maarkedal - herstelling wegdek en aanleg fietspaden";03-04-2014;;"De Meulemeester Marnic";;16-04-2014;;WOV;;16-04-2014;16-04-2014;16-04-2014;16-04-2014;
674;"Missing link N60 Ronse - Gunningscriteria";02-04-2014;;"Meuleman Elisabeth";;15-04-2014;;WOV;;15-04-2014;15-04-2014;15-04-2014;15-04-2014;
663;"Kruispunt N70/N16 Sint-Niklaas - Rotonde";31-03-2014;;"Van Malderen Bart";;10-04-2014;;WOV;;10-04-2014;10-04-2014;10-04-2014;10-04-2014;
645;"Ontwerpen van decreet - externe adviezen ";24-03-2014;;"Dillen Marijke";;09-04-2014;;PCO;;09-04-2014;10-04-2014;10-04-2014;11-04-2014;
646;"Vlaamse overheid - E-Government";24-03-2014;;"Dillen Marijke";;18-04-2014;;PCO;;18-04-2014;21-04-2014;21-04-2014;23-04-2014;
628;"Beheersovereenkomsten en subsidievoorwaarden - toegankelijkheidsbeleid";18-03-2014;;"Dillen Marijke";;08-04-2014;;PCO;;08-04-2014;08-04-2014;08-04-2014;08-04-2014;
633;"Vlaamse overheid - Kunstintegratie";20-03-2014;;"De Ro Jo";;08-04-2014;;PCO;;08-04-2014;08-04-2014;08-04-2014;08-04-2014;
661;"Albertkanaal - Verbreding - Verhoging bruggen";28-03-2014;;"Reekmans Peter";"Geen elementen van antwoord";08-04-2014;;WA;;08-04-2014;08-04-2014;08-04-2014;08-04-2014;
660;" ""Groene"" geluidsschermen - Onderzoek";27-03-2014;;"Lachaert Egbert";;07-04-2014;;WK;;07-04-2014;07-04-2014;07-04-2014;07-04-2014;
657;"Resolutie betreffende doorstroming in het verkeer - evaluaties";26-03-2014;;"Dillen Marijke";;09-04-2014;;EVT;;09-04-2014;10-04-2014;10-04-2014;09-04-2014;
656;"Resolutie betreffende doorstroming in het verkeer - initiatieven";26-03-2014;;"Dillen Marijke";;09-04-2014;;EVT;;09-04-2014;10-04-2014;10-04-2014;09-04-2014;
655;"N441 te Ename - snelheidsbeperking";26-03-2014;;"De Meulemeester Marnic";;09-04-2014;;WOV;;09-04-2014;10-04-2014;10-04-2014;09-04-2014;
651;"Heraanleg N14 te Zandhoven - stand van zaken";26-03-2014;;"Vermeiren Goedele";"Input De Lijn toegevoegd";09-04-2014;;WA;;09-04-2014;10-04-2014;10-04-2014;09-04-2014;
650;"Geluidshinder door wegverkeer - maatregelen ";25-03-2014;;"Dillen Marijke";;15-04-2014;;PCO;;15-04-2014;16-04-2014;16-04-2014;18-04-2014;
647;"Gewestwegen - strooizout";25-03-2014;;"Robeyns Els";;08-04-2014;;PCO;;08-04-2014;09-04-2014;09-04-2014;18-04-2014;
545;"Elisabethlaan Oostende - Ondertunneling";25-02-2014;;"Verstreken Johan";;07-03-2014;;WWV;;07-03-2014;07-03-2014;07-03-2014;07-03-2014;
641;" FAST-takeldienst - Stand van zaken";21-03-2014;;"D'Hulster Steve";;04-04-2014;;EVT;;04-04-2014;04-04-2014;04-04-2014;04-04-2014;
638;"N47 Lokeren - Verkeersveiligheid";21-03-2014;;"Rzoska Björn";;04-04-2014;;WOV;;04-04-2014;04-04-2014;04-04-2014;04-04-2014;
631;"Kruispunten gewestwegen - veilig afslaan voor fietsers";19-03-2014;;"Yuksel Veli";"BMV coÃ¶rdineert";01-04-2014;;EVT;;01-04-2014;01-04-2014;01-04-2014;01-04-2014;
629;"Carpoolparkings - West-Vlaanderen (2)";19-03-2014;;"Vandaele Wilfried";"De Afdeling Beleid Mobiliteit en Verkeersveiligheid (Departement MOW) is trekker van de studie waarvan sprake in de vraag.  Deze vraag moet dan ook aan deze afdeling gesteld worden.";01-04-2014;;WWV;;01-04-2014;01-04-2014;01-04-2014;01-04-2014;
;"Transportcommissie van het Europees Parlement staat op de rem voor de invoering van LZV's";18-03-2014;;"Jans Lies";"Het proefproject LZVâ€™s in Vlaanderen gaat uit van ritten die volledig op Vlaams grondgebied plaats vinden.
Het al dan niet toestaan op Europees niveau om de grenzen te overschrijden heeft dus geen invloed op het proefproject.
";19-03-2014;;EVT;;19-03-2014;19-03-2014;19-03-2014;19-03-2014;
591;"R4 Zwijnaarde - brug Brugsevaart - verlichting fietspad (2)";04-03-2014;;"Yuksel Veli";;17-03-2014;;WOV;;17-03-2014;17-03-2014;17-03-2014;17-03-2014;
624;"Fietspad N36 Deerlijk - Veilige doorgang";14-03-2014;;"Kindt Els";;26-03-2014;;WWV;;26-03-2014;26-03-2014;26-03-2014;26-03-2014;
617;"Gewestwegen stad Antwerpen - fietsveiligheid (2)";13-03-2014;;"Vogels Mieke";;26-03-2014;;WA;;26-03-2014;26-03-2014;26-03-2014;26-03-2014;
1124;"FAST en incident management";12-03-2014;;"Jans Lies";;17-03-2014;;EVT;;24-03-2014;24-03-2014;24-03-2014;24-03-2014;
1104;"Klachten over FAST-takeldiensten";10-03-2014;;"Keulen Marino";;17-03-2014;;EVT;;24-03-2014;24-03-2014;24-03-2014;24-03-2014;
614;"Gewestwegen Antwerpen - overdracht naar de stad";12-03-2014;;"Wienen Wim";;25-03-2014;;WA;;25-03-2014;25-03-2014;25-03-2014;25-03-2014;
612;"Heraanleg kruispunt N14 / R16 Lier - stand van zaken (2)";12-03-2014;;"Vanderpoorten Marleen";;25-03-2014;;WA;;25-03-2014;25-03-2014;25-03-2014;25-03-2014;
611;"Tweede spoortontsluiting Antwerpse haven - Trajectkeuze";12-03-2014;;"Vanderpoorten Marleen";;25-03-2014;;WA;;25-03-2014;25-03-2014;25-03-2014;25-03-2014;
496;"Vlaamse overheid - contracten met beveiligingsfirma's";13-02-2014;;"Roegiers Jan";;12-03-2014;;PCO;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;
609;"N441 - Doortocht Nederename - stand van zaken";11-03-2014;;"Franssen Cindy";;24-03-2014;;WOV;;24-03-2014;24-03-2014;24-03-2014;24-03-2014;
608;"Integraal fietsinvesteringsprogramma - fietsbrug N60 Leupegem";11-03-2014;;"Franssen Cindy";;24-03-2014;;WOV;;24-03-2014;24-03-2014;24-03-2014;24-03-2014;
607;"N368 en N44 Knesselare - verkeershinder";11-03-2014;;"Rzoska Björn";;24-03-2014;;WOV;;24-03-2014;24-03-2014;24-03-2014;24-03-2014;
605;"FAST - netwerk";11-03-2014;;"Huybrechts Pieter";;24-03-2014;;EVT;;24-03-2014;24-03-2014;24-03-2014;24-03-2014;
604;"Noord-zuidverbinding Limburg - stand van zaken";11-03-2014;;"Reekmans Peter";;24-03-2014;;WL;;24-03-2014;24-03-2014;24-03-2014;24-03-2014;
603;"Dubbele rotondes - bestemming";10-03-2014;;"Reekmans Peter";;20-03-2014;;EVT;;20-03-2014;20-03-2014;20-03-2014;20-03-2014;
602;"Incidentmanagement - ongevallencoÃ¶rdinator";10-03-2014;;"Jans Lies";;20-03-2014;;EVT;;20-03-2014;20-03-2014;20-03-2014;20-03-2014;
601;"Heraanleg Brusselsesteenweg Gent - Communicatie";06-03-2014;;"Stevens Helga";;18-03-2014;;WOV;;18-03-2014;18-03-2014;18-03-2014;18-03-2014;
600;"E34 Herstellingen";06-03-2014;;"Van Dijck Kris";;18-03-2014;;WA;;18-03-2014;18-03-2014;18-03-2014;18-03-2014;
599;"Afbraak grenspost E17 Rekkem - Asbest";06-03-2014;;"Tommelein Bart";;18-03-2014;;WWV;;18-03-2014;18-03-2014;18-03-2014;18-03-2014;
598;"Doortrekking N41 Aalst - Dendermonde - stand van zaken";06-03-2014;;"Van der Borght Vera";;18-03-2014;;WOV;;18-03-2014;18-03-2014;18-03-2014;18-03-2014;
597;"Evaluatie staat wegdek - parameters - N444 Merelbeke";06-03-2014;;"Lachaert Egbert";;18-03-2014;;WOV;;18-03-2014;18-03-2014;18-03-2014;18-03-2014;
588;"Vlaamse overheid - Waarborgregeling";03-03-2014;;"Vereeck Lode";"Door het Agentschap Wegen en Verkeer wordt geen waarborgregeling beheerd, dus deze vraag is niet van toepassing.";17-03-2014;;PCO;;17-03-2014;17-03-2014;17-03-2014;17-03-2014;
596;"N42 - Wetteren - Zottegem - Geraardsbergen - stand an zaken";05-03-2014;;"Van der Borght Vera";;17-03-2014;;WOV;;17-03-2014;17-03-2014;17-03-2014;17-03-2014;
595;"Verkeersafwikkeling Aalsterse Ring - Kruispunt Siesegemlaan";05-03-2014;;"Van der Borght Vera";;17-03-2014;;WOV;;17-03-2014;17-03-2014;17-03-2014;17-03-2014;
594;"Arendonk - aanleg fietsinfrastructuur";05-03-2014;;"Kennes Ward";;17-03-2014;;WA;;17-03-2014;17-03-2014;17-03-2014;17-03-2014;
593;"N411 Aalst - Moorsel - herinrichting";05-03-2014;;"Van der Borght Vera";;17-03-2014;;WOV;;17-03-2014;17-03-2014;17-03-2014;17-03-2014;
544;"Vlaamse overheid   -   Vlaams Fonds voor de Lastendelging";21-02-2014;;"Vereeck Lode";;10-03-2014;;PCO;;10-03-2014;10-03-2014;10-03-2014;10-03-2014;
543;"Vlaamse overheid   -   Schadeclaims";21-02-2014;;"Vereeck Lode";"AJD heeft geantwoord. Zie e-room";10-03-2014;;PCO;;10-03-2014;10-03-2014;10-03-2014;10-03-2014;
510;"Tramlijnen 2 en 4 Antwerpen - doorstroming aan kruispunten";18-02-2014;;"Penris Jan";;07-03-2014;;WA;;07-03-2014;07-03-2014;07-03-2014;07-03-2014;
590;"Kanaalweg (N391) te Zwevegem - verlichting en aanplantingen";03-03-2014;;"Poleyn Sabine";;14-03-2014;;WWV;;13-03-2014;14-03-2014;14-03-2014;14-03-2014;
587;"Heraanleg N42 te Herzele - onteigeningsprocedure en bezwaarschriften";03-03-2014;;"Diependaele Matthias";;17-03-2014;;WOV;;16-03-2014;17-03-2014;17-03-2014;17-03-2014;
363;"Alternatieve financiering overheidsinvesteringen - beschikbaarheidsvergoedingen";19-02-2014;;"Vereeck Lode";"Werkblad Missing Links I is aangevuld, a.d.h.v. laatste berekeningen PMV (d.d. 06/03/2014)
Wat Missing Links II betreft, is het nog niet mogelijk een inschatting te maken van de beschikbaarheidsvergoedingen voor deze nieuwe PPS-projecten. Er zijn teveel onbekende variabelen en onduidelijkheden qua timing en uitvoering.
De gegevens in de tabel contactpersonen waren reeds aangevuld, hieraan moet niets gewijzigd worden";07-03-2014;;PCO;;06-03-2014;07-03-2014;07-03-2014;06-03-2014;
583;"Spitsstroken - veiligheidsbeleid";28-02-2014;;"Keulen Marino";;10-03-2014;;EVT;;09-03-2014;09-03-2014;09-03-2014;03-03-2014;
586;"Doortrekking N171 Kontich-Boom - Stand van zaken";28-02-2014;;"Peeters Dirk";;12-03-2014;;WA;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;
584;"Autosnelwegparkings Westkerke - Tijdelijke sluiting";28-02-2014;;"Tommelein Bart";;12-03-2014;;WWV;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;
582;"N8 Ieper-Veurne - Schorsing GRUP";28-02-2014;;"Tommelein Bart";;12-03-2014;;WWV;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;
580;"Vlakheidsnormen fietspaden - Profilometer";28-02-2014;;"Reekmans Peter";;12-03-2014;;WK;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;
579;"Veiligheid motorrijders - Maatregelen";28-02-2014;;"De Waele Patricia";;12-03-2014;;EVT;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;
578;"Kruispunt N17/Mechelsesteenweg Dendermonde - Herinrichting";28-02-2014;;"Meremans Manus";;12-03-2014;;WOV;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;
576;"E17 Aalbeke - Aquaplanning";28-02-2014;;"Lachaert Egbert";;12-03-2014;;WWV;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;
575;"Vlaams Infrastructuurfonds en AWV - Verkoop onroerende goederen";28-02-2014;;"Vereeck Lode";;12-03-2014;;PCO;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;
558;"Vlaamse overheid - nieuwe huisstijl";25-02-2014;;"Van Mechelen Dirk";"Elementen van antwoord voor deelvraag 3";07-03-2014;;PCO;;07-03-2014;07-03-2014;07-03-2014;07-03-2014;
574;"De Lijn Leuven - Doorstromingsonderzoek -busverkeer Centrum";27-02-2014;;"Eerlingen Tine";"De Lijn zorgt voor de opvolging van deze studie.
Gelieve u tot hen te richten.
";12-03-2014;;WVB;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;
573;" Wegverharding E34 Zoersel - Turnhout - Timing";27-02-2014;;"Kennes Ward";;12-03-2014;;WA;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;
572;"Herbelijning kruispunt R11/N1 Mortsel - timing";27-02-2014;;"Vermeiren Goedele";;12-03-2014;;WA;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;
571;"Proefproject toeritdosering Mortsel - stand van zaken";27-02-2014;;"Vermeiren Goedele";;12-03-2014;;EVT;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;
570;"Verkeersborden langs gewestwegen - plaatsingscriteria";27-02-2014;;"Dillen Marijke";;12-03-2014;;EVT;;12-03-2014;12-03-2014;12-03-2014;12-03-2014;
568;"N42 Oosterzele   -   Snelheidscameraâ€™s";26-02-2014;;"Lachaert Egbert";;11-03-2014;;WOV;;11-03-2014;11-03-2014;11-03-2014;11-03-2014;
567;"Kruispunt Guldensporenlaan / R4 Merelbeke - Ongevallen";26-02-2014;;"Lachaert Egbert";;11-03-2014;;WOV;;11-03-2014;11-03-2014;11-03-2014;11-03-2014;
566;"Gewestwegen Kruishoutem - verkeesintensiteit";26-02-2014;;"Diependaele Matthias";;11-03-2014;;WOV;;11-03-2014;11-03-2014;11-03-2014;11-03-2014;
563;"Kruispunt N370 / N368 Beernem - verkeersveiligheid";26-02-2014;;"Godderis-T'Jonck Danielle";;11-03-2014;;WWV;;11-03-2014;11-03-2014;11-03-2014;11-03-2014;
562;"Kwaliteit gewestwegen - Rapport - N49";26-02-2014;;"Taeldeman Valerie";;11-03-2014;;WK;;11-03-2014;11-03-2014;11-03-2014;11-03-2014;
561;"Doortrekking N60 - Ronse - Stand van zaken";26-02-2014;;"Diependaele Matthias";;11-03-2014;;WOV;;11-03-2014;11-03-2014;11-03-2014;11-03-2014;
1071;"Feit dat Vlaanderen nog altijd een slechte leerling is inzake verkeersveiligheid";26-02-2014;;"Keulen Marino";"Elementen van antwoord EVT";04-03-2014;;PCO;;03-03-2014;04-03-2014;04-03-2014;04-03-2014;
555;"Meerjarenraming 2014-2019 - Impact masterplan 2020";25-02-2014;;"Vereeck Lode";;04-03-2014;;Stafdienst;;01-01-1970;04-03-2014;04-03-2014;04-03-2014;
466;"Schuilhuisjes met reclame - Retributies";04-02-2014;;"Van Rouveroij Sas";;17-02-2014;;PCO;;01-01-1970;17-02-2014;17-02-2014;17-02-2014;
542;"N123 Herentals - Lichtaart - Verkeersveiligheid";21-02-2014;;"Reekmans Peter";;06-03-2014;;WA;;06-03-2014;06-03-2014;06-03-2014;06-03-2014;
541;"Missing links - West-Vlaanderen";21-02-2014;;"Tommelein Bart";;06-03-2014;;WWV;;06-03-2014;06-03-2014;06-03-2014;06-03-2014;
538;"Meldpunt wegen - klachten   ";21-02-2014;;"Reekmans Peter";;06-03-2014;;PCO;;06-03-2014;06-03-2014;06-03-2014;06-03-2014;
535;"Meldpunt fietspaden - Meldingen";21-02-2014;;"Reekmans Peter";;06-03-2014;;PCO;;06-03-2014;06-03-2014;06-03-2014;06-03-2014;
534;"Heraanleg kruispunt Ring Tienen - evaluatie";21-02-2014;;"Reekmans Peter";;06-03-2014;;WVB;;06-03-2014;06-03-2014;06-03-2014;06-03-2014;
533;"Trajectcontrole - aankondigingsborden";20-02-2014;;"Van Malderen Bart";;04-03-2014;;EVT;;04-03-2014;04-03-2014;04-03-2014;04-03-2014;
1012;"Centraal ongevallenmeldpunt";17-02-2014;;"Keulen Marino";;24-02-2014;;EVT;;;24-02-2014;24-02-2014;24-02-2014;
530;"Ring Brussel - Herinrichting afritten Dilbeek en N8";19-02-2014;;"Segers Willy";;03-03-2014;;WVB;;01-01-1970;03-03-2014;03-03-2014;03-03-2014;
528;"Wegmarkeringen - omschakeling naa klasse R3";19-02-2014;;"De Ridder Annick";;03-03-2014;;EVT;;03-03-2014;03-03-2014;03-03-2014;03-03-2014;
525;"Sluipverkeer Mollem - Meise - maatregelen";19-02-2014;;"Segers Willy";;03-03-2014;;WVB;;03-03-2014;03-03-2014;03-03-2014;03-03-2014;
524;"Carpoolparking Hasselt Zuid - Bereikbaarheid";19-02-2014;;"Jans Lies";;03-03-2014;;WL;;03-03-2014;03-03-2014;03-03-2014;03-03-2014;
522;"Schorsing GRUP wegverbinding ieper - Veurne - Werkzaamheden N8 Veurne";19-02-2014;;"Godderis-T'Jonck Danielle";;03-03-2014;;WWV;;01-01-1970;03-03-2014;03-03-2014;03-03-2014;
