PV;Onderwerp;"Datum PV";"Referentie kabinet";Parlementarier;Omschrijving;"Antwoord tegen";"Antwoord ontvangen";"Te behandelen door";"Doorsturen naar";"Naar Staf tegen";"Herinnering op";"Uitgeschreven op";"Datum Kabinet";Bijlagen
374;"Brusselse Ring - reclameborden";15-01-2014;;"Van Hauthem Joris";;28-01-2014;;WVB;;;28-01-2014;28-01-2014;28-01-2014;
373;"Verkeerswisselaar Zaventem - Verlichting";15-01-2014;;"Van Hauthem Joris";;28-01-2014;;WVB;;;28-01-2014;28-01-2014;28-01-2014;
371;"Antwerpse Ring - Geluidsschermen";15-01-2014;;"Bastiaens Caroline";;28-01-2014;;WA;;;28-01-2014;28-01-2014;28-01-2014;
;"Filecijfers Touring";15-01-2014;;"Keulen Marino";;15-01-2014;;Stafdienst;;;15-01-2014;15-01-2014;15-01-2014;
368;"Heraanleg weginfrastructuur - richtlijnen";14-01-2014;;"Keulen Marino";;28-01-2014;;EVT;;;28-01-2014;28-01-2014;28-01-2014;
367;"Gewestwegen - verkeerslichten";14-01-2014;;"Keulen Marino";;28-01-2014;;EVT;;;28-01-2014;28-01-2014;28-01-2014;
366;"Verkeesagressie - oorzaken";14-01-2014;;"Keulen Marino";"Niet voor AWV - Wel BMV";28-01-2014;;EVT;;;28-01-2014;28-01-2014;28-01-2014;
365;"Verkeerslichten - afstelling";14-01-2014;;"Keulen Marino";;28-01-2014;;EVT;;;28-01-2014;28-01-2014;28-01-2014;
364;"Brusselse Ring - reclameborden";14-01-2014;;"Reekmans Peter";;28-01-2014;;WVB;;;28-01-2014;28-01-2014;28-01-2014;
334;"Horizontaal Gelijkekansenbeleid - Financiering";07-01-2014;;"Brusseel Ann";;17-01-2014;;PCO;;;17-01-2014;17-01-2014;17-01-2014;
354;"Investeringsprogramma wegen - Vrijliggende fietspaden N41 Hamme";10-01-2014;;"Meremans Manus";;22-01-2014;;WOV;;;22-01-2014;22-01-2014;22-01-2014;
353;"Brugse ring Bloedpunt-Gentpoort - Verkeersstudie";10-01-2014;;"Van Volcem Mercedes";;22-01-2014;;WWV;;;22-01-2014;22-01-2014;22-01-2014;
351;"Wegsignalisatie - onderhoud";09-01-2014;;"Huybrechts Patrick ";;22-01-2014;;PCO;;;22-01-2014;22-01-2014;22-01-2014;
350;"Pechstrook - oneigenlijk gebruik";09-01-2014;;"Huybrechts Patrick ";;22-01-2014;;EVT;;;22-01-2014;22-01-2014;22-01-2014;
349;"N12 Turnhoutsebaan Antwerpen - Turnhout - heraanleg";09-01-2014;;"Dillen Marijke";;22-01-2014;;WA;;;22-01-2014;22-01-2014;22-01-2014;
348;"Park & Ride-parkings - stand van zaken";09-01-2014;;"Dillen Marijke";;22-01-2014;;EVT;;;22-01-2014;22-01-2014;22-01-2014;
338;"Pechstrook - oneigenlijk gebruik";07-01-2014;;"D'Hulster Steve";;20-01-2014;;EVT;;;20-01-2014;20-01-2014;20-01-2014;
336;"Brusselse Ring - Bewegwijzering afrit Woluwe";07-01-2014;;"Van Eyken Christian";;20-01-2014;;WVB;;;20-01-2014;20-01-2014;20-01-2014;
335;"R4 Kennedylaan Zelzate - Gent - aanduiding ""Desteldonk""";07-01-2014;;"Van Rouveroij Sas";;20-01-2014;;WOV;;;20-01-2014;20-01-2014;20-01-2014;
